Designator,Mid X,Mid Y,Rotation,Layer
U12,45.78,-99.65,180.0,top
U2,252.3,-104.85,270.0,top
U3,260.11,-92.36,180.0,top
U4,220.07,-114.17,180.0,top
U5,94.902,-111.836,180.0,top
U6,40.38,-92.36,180.0,top
U7,49.1,-104.85,270.0,top
U8,80.914,-114.17,0.0,top
U9,221.49,-122.47,0.0,top
Y1,198.28,-110.4,0.0,top
Y2,102.69,-113.272,180.0,top
